iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,11.0,0.0,113.0,2.0,0.53,69.66,0.645,1417173120.0,0.07973620047210604,0.0014112601853470098
IND,India,6.0,0.0,119.0,2.0,0.53,69.66,0.645,1417173120.0,0.08396998102814708,0.0014112601853470098
IND,India,23.0,1.0,142.0,3.0,0.53,69.66,0.645,1417173120.0,0.10019947315963769,0.0021168902780205143
IND,India,14.0,0.0,156.0,3.0,0.53,69.66,0.645,1417173120.0,0.11007829445706675,0.0021168902780205143
IND,India,38.0,1.0,194.0,4.0,0.53,69.66,0.645,1417173120.0,0.13689223797865993,0.0028225203706940196
IND,India,50.0,1.0,244.0,5.0,0.53,69.66,0.645,1417173120.0,0.17217374261233517,0.0035281504633675243
IND,India,86.0,494.2134088762984,330.0,4.0,0.53,69.66,0.645,1417173120.0,0.2328579305822566,0.0028225203706940196
IND,India,66.0,3.0,396.0,7.0,0.53,69.66,0.645,1417173120.0,0.2794295166987079,0.004939410648714534
IND,India,103.0,3.0,499.0,10.0,0.53,69.66,0.645,1417173120.0,0.35210941624407893,0.007056300926735049
IND,India,37.0,0.0,536.0,10.0,0.53,69.66,0.645,1417173120.0,0.3782177296729986,0.007056300926735049
IND,India,121.0,2.0,657.0,12.0,0.53,69.66,0.645,1417173120.0,0.46359897088649266,0.008467561112082057
IND,India,70.0,8.0,727.0,20.0,0.53,69.66,0.645,1417173120.0,0.512993077373638,0.014112601853470097
IND,India,160.0,0.0,887.0,20.0,0.53,69.66,0.645,1417173120.0,0.6258938922013988,0.014112601853470097
IND,India,100.0,4.0,987.0,24.0,0.53,69.66,0.645,1417173120.0,0.6964569014687493,0.016935122224164115
IND,India,37.0,3.0,1024.0,27.0,0.53,69.66,0.645,1417173120.0,0.722565214897669,0.01905201250218463
IND,India,227.0,5.0,1251.0,32.0,0.53,69.66,0.645,1417173120.0,0.8827432459345546,0.022580162965552156
IND,India,146.0,3.0,1397.0,35.0,0.53,69.66,0.645,1417173120.0,0.9857652394648863,0.02469705324357267
